2022-03-03 15:03:46,167 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:03:46,463 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:04:49,544 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:04:49,870 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:07:48,498 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:07:48,850 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:08:53,907 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:08:54,252 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:09:32,297 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:09:32,658 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:11:12,936 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:11:13,281 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:11:13,299 - movie_logger - INFO - 1-클라우스영화 제목 클릭... :
2022-03-03 15:11:14,135 - movie_logger - INFO - 영화 평점 클릭...
2022-03-03 15:11:14,153 - movie_logger - INFO - 영화 제목 수집 : 클라우스
2022-03-03 15:11:14,169 - movie_logger - INFO - iframe으로 전환...
2022-03-03 15:11:14,203 - movie_logger - INFO - 1,클라우스
2022-03-03 15:11:14,233 - movie_logger - INFO - 2,클라우스
2022-03-03 15:11:14,261 - movie_logger - INFO - 3,클라우스
2022-03-03 15:11:14,288 - movie_logger - INFO - 4,클라우스
2022-03-03 15:11:14,316 - movie_logger - INFO - 5,클라우스
2022-03-03 15:11:14,348 - movie_logger - INFO - 6,클라우스
2022-03-03 15:11:14,376 - movie_logger - INFO - 7,클라우스
2022-03-03 15:11:14,404 - movie_logger - INFO - 8,클라우스
2022-03-03 15:11:14,433 - movie_logger - INFO - 9,클라우스
2022-03-03 15:11:14,476 - movie_logger - INFO - 10,클라우스
2022-03-03 15:11:14,611 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:14,645 - movie_logger - INFO - 11,클라우스
2022-03-03 15:11:14,677 - movie_logger - INFO - 12,클라우스
2022-03-03 15:11:14,708 - movie_logger - INFO - 13,클라우스
2022-03-03 15:11:14,738 - movie_logger - INFO - 14,클라우스
2022-03-03 15:11:14,767 - movie_logger - INFO - 15,클라우스
2022-03-03 15:11:14,797 - movie_logger - INFO - 16,클라우스
2022-03-03 15:11:14,827 - movie_logger - INFO - 17,클라우스
2022-03-03 15:11:14,856 - movie_logger - INFO - 18,클라우스
2022-03-03 15:11:14,884 - movie_logger - INFO - 19,클라우스
2022-03-03 15:11:14,915 - movie_logger - INFO - 20,클라우스
2022-03-03 15:11:15,054 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:15,092 - movie_logger - INFO - 21,클라우스
2022-03-03 15:11:15,124 - movie_logger - INFO - 22,클라우스
2022-03-03 15:11:15,153 - movie_logger - INFO - 23,클라우스
2022-03-03 15:11:15,183 - movie_logger - INFO - 24,클라우스
2022-03-03 15:11:15,212 - movie_logger - INFO - 25,클라우스
2022-03-03 15:11:15,242 - movie_logger - INFO - 26,클라우스
2022-03-03 15:11:15,273 - movie_logger - INFO - 27,클라우스
2022-03-03 15:11:15,303 - movie_logger - INFO - 28,클라우스
2022-03-03 15:11:15,334 - movie_logger - INFO - 29,클라우스
2022-03-03 15:11:15,365 - movie_logger - INFO - 30,클라우스
2022-03-03 15:11:15,494 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:15,529 - movie_logger - INFO - 31,클라우스
2022-03-03 15:11:15,558 - movie_logger - INFO - 32,클라우스
2022-03-03 15:11:15,587 - movie_logger - INFO - 33,클라우스
2022-03-03 15:11:15,616 - movie_logger - INFO - 34,클라우스
